0 0
0.02 0.0383304
0.04 0.0765095
0.06 0.114387
0.08 0.151812
0.1 0.188639
0.12 0.224721
0.14 0.259916
0.16 0.294086
0.18 0.327095
0.2 0.358813
0.22 0.389114
0.24 0.417881
0.26 0.444998
0.28 0.470359
0.3 0.493863
0.32 0.515419
0.34 0.53494
0.36 0.55235
0.38 0.567581
0.4 0.580571
0.42 0.59127
0.44 0.599636
0.46 0.605635
0.48 0.609244
0.5 0.610448
0.52 0.609244
0.54 0.605635
0.56 0.599636
0.58 0.59127
0.6 0.580571
0.62 0.567581
0.64 0.55235
0.66 0.53494
0.68 0.515419
0.7 0.493863
0.72 0.470359
0.74 0.444998
0.76 0.417881
0.78 0.389114
0.8 0.358813
0.82 0.327095
0.84 0.294086
0.86 0.259916
0.88 0.224721
0.9 0.188639
0.92 0.151812
0.94 0.114387
0.96 0.0765095
0.98 0.0383304
1 0
