0 0
0.02 0.0515511
0.04 0.102899
0.06 0.15384
0.08 0.204175
0.1 0.253704
0.12 0.302231
0.14 0.349566
0.16 0.395521
0.18 0.439915
0.2 0.482573
0.22 0.523326
0.24 0.562014
0.26 0.598485
0.28 0.632593
0.3 0.664204
0.32 0.693195
0.34 0.719449
0.36 0.742865
0.38 0.763348
0.4 0.780819
0.42 0.795209
0.44 0.80646
0.46 0.814528
0.48 0.819382
0.5 0.821002
0.52 0.819382
0.54 0.814528
0.56 0.80646
0.58 0.795209
0.6 0.780819
0.62 0.763348
0.64 0.742865
0.66 0.719449
0.68 0.693195
0.7 0.664204
0.72 0.632593
0.74 0.598485
0.76 0.562014
0.78 0.523326
0.8 0.482573
0.82 0.439915
0.84 0.395521
0.86 0.349566
0.88 0.302231
0.9 0.253704
0.92 0.204175
0.94 0.15384
0.96 0.102899
0.98 0.0515511
1 0
