0 0
0.02 0.0234099
0.04 0.0467275
0.06 0.0698606
0.08 0.092718
0.1 0.11521
0.12 0.137246
0.14 0.158742
0.16 0.17961
0.18 0.19977
0.2 0.219142
0.22 0.237648
0.24 0.255217
0.26 0.271778
0.28 0.287267
0.3 0.301622
0.32 0.314787
0.34 0.32671
0.36 0.337343
0.38 0.346645
0.4 0.354578
0.42 0.361113
0.44 0.366222
0.46 0.369886
0.48 0.37209
0.5 0.372826
0.52 0.37209
0.54 0.369886
0.56 0.366222
0.58 0.361113
0.6 0.354578
0.62 0.346645
0.64 0.337343
0.66 0.32671
0.68 0.314787
0.7 0.301622
0.72 0.287267
0.74 0.271778
0.76 0.255217
0.78 0.237648
0.8 0.219142
0.82 0.19977
0.84 0.17961
0.86 0.158742
0.88 0.137246
0.9 0.11521
0.92 0.092718
0.94 0.0698606
0.96 0.0467275
0.98 0.0234099
1 0
