0 0
0.02 0.0285058
0.04 0.056899
0.06 0.0850677
0.08 0.112901
0.1 0.140288
0.12 0.167122
0.14 0.193296
0.16 0.218707
0.18 0.243256
0.2 0.266844
0.22 0.289379
0.24 0.310772
0.26 0.330938
0.28 0.349799
0.3 0.367279
0.32 0.383309
0.34 0.397827
0.36 0.410775
0.38 0.422102
0.4 0.431762
0.42 0.439719
0.44 0.44594
0.46 0.450402
0.48 0.453086
0.5 0.453982
0.52 0.453086
0.54 0.450402
0.56 0.44594
0.58 0.439719
0.6 0.431762
0.62 0.422102
0.64 0.410775
0.66 0.397827
0.68 0.383309
0.7 0.367279
0.72 0.349799
0.74 0.330938
0.76 0.310772
0.78 0.289379
0.8 0.266844
0.82 0.243256
0.84 0.218707
0.86 0.193296
0.88 0.167122
0.9 0.140288
0.92 0.112901
0.94 0.0850677
0.96 0.056899
0.98 0.0285058
1 0
